,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
4,116.68,0.004,0.0,01100000_00010010,7.137924909591675,_M_00004,150
5,116.69,0.004,-0.4,01100000_00100010,7.171113014221191,_M_00004,150
6,116.71,0.004,-0.1,01100000_00000010,7.209416389465332,_M_00004,150
7,116.78,0.004,0.0,01100000_00010010,7.242645978927612,_M_00004,150
8,116.69,0.004,0.2,01100000_00010010,7.275819778442383,_M_00004,150
9,116.71,0.004,-0.1,01100000_00000010,7.309039831161499,_M_00004,150
10,116.78,0.006,0.0,01100000_00110010,7.342236042022705,_M_00004,150
11,116.68,0.008,0.2,01100000_00110010,7.375449180603027,_M_00004,150
12,116.71,0.006,0.0,01100000_00000010,7.408826589584351,_M_00004,150
13,116.77,0.006,-0.1,01100000_00100010,7.441970109939575,_M_00004,150
14,116.66,0.004,0.2,01100000_00110010,7.475202798843384,_M_00004,150
15,116.69,0.004,-0.2,01100000_00000010,7.508372783660889,_M_00004,150
16,116.66,0.004,-0.1,01100000_00000010,7.541605234146118,_M_00004,150
17,116.66,0.008,0.1,01100000_00010010,7.574824094772339,_M_00004,150
18,116.68,0.006,0.1,01100000_00010010,7.607987642288208,_M_00004,150
19,116.68,0.004,0.0,01100000_00110010,7.641194105148315,_M_00004,150
20,116.66,0.006,0.0,01100000_00010010,7.674412488937378,_M_00004,150
21,116.69,0.004,0.0,01100000_00000010,7.707627296447754,_M_00004,150
22,116.66,0.006,0.0,01100000_00010010,7.740823984146118,_M_00004,150
23,116.66,0.008,0.0,01100000_00100010,7.774014949798584,_M_00004,150
24,116.68,0.006,-0.3,01100000_00000010,7.807196617126465,_M_00004,150
25,116.66,0.004,0.1,01100000_00010010,7.8403637409210205,_M_00004,150
26,116.69,0.004,-0.1,01100000_00000010,7.873594284057617,_M_00004,150
27,116.73,0.004,0.4,01100000_00010010,7.906793832778931,_M_00004,150
28,116.71,0.006,0.0,01100000_00010010,7.939985036849976,_M_00004,150
29,116.68,0.006,0.2,01100000_00110010,7.973168849945068,_M_00004,150
30,115.94,0.006,-0.1,01100000_00100010,7.0203537940979,_M_00002,150
31,115.96,0.006,-0.5,01100000_00000010,7.037834167480469,_M_00002,150
32,115.92,0.006,0.0,01100000_00100010,7.071243762969971,_M_00002,150
33,115.94,0.006,-0.3,01100000_00000010,7.104464054107666,_M_00002,150
34,116.03,0.008,0.1,01100000_00010010,7.137924909591675,_M_00002,150
35,116.01,0.008,0.0,01100000_00010010,7.171113014221191,_M_00002,150
36,115.94,0.006,0.2,01100000_00110010,7.209416389465332,_M_00002,150
37,115.96,0.006,0.1,01100000_00110010,7.242645978927612,_M_00002,150
38,115.96,0.01,0.0,01100000_00110010,7.275819778442383,_M_00002,150
39,116.01,0.008,0.3,01100000_00110010,7.309039831161499,_M_00002,150
40,116.01,0.008,0.0,01100000_00100010,7.342236042022705,_M_00002,150
41,115.96,0.008,0.0,01100000_00110010,7.375449180603027,_M_00002,150
42,115.99,0.008,0.0,01100000_00010010,7.408826589584351,_M_00002,150
43,116.01,0.008,0.0,01100000_00000010,7.441970109939575,_M_00002,150
44,115.97,0.008,-0.1,01100000_00000010,7.475202798843384,_M_00002,150
45,115.99,0.008,0.1,01100000_00010010,7.508372783660889,_M_00002,150
46,116.01,0.006,-0.2,01100000_00000010,7.541605234146118,_M_00002,150
47,115.97,0.006,0.0,01100000_00100010,7.574824094772339,_M_00002,150
48,115.99,0.004,0.2,01100000_00110010,7.607987642288208,_M_00002,150
49,116.01,0.008,-0.2,01100000_00000010,7.641194105148315,_M_00002,150
50,116.03,0.006,0.0,01100000_00110010,7.674412488937378,_M_00002,150
51,115.99,0.012,-0.5,01100000_00100010,7.707627296447754,_M_00002,150
52,115.99,0.008,0.0,01100000_00010010,7.740823984146118,_M_00002,150
53,116.03,0.008,0.1,01100000_00010010,7.774014949798584,_M_00002,150
54,116.07,0.008,0.3,01100000_00110010,7.807196617126465,_M_00002,150
55,116.03,0.006,0.1,01100000_00010010,7.8403637409210205,_M_00002,150
56,115.9,0.006,-0.1,01100000_00100010,7.873594284057617,_M_00002,150
57,116.01,0.006,-0.2,01100000_00100010,7.906793832778931,_M_00002,150
58,115.99,0.006,0.3,01100000_00110010,7.939985036849976,_M_00002,150
59,115.96,0.008,0.2,01100000_00110010,7.973168849945068,_M_00002,150
60,117.06,0.01,0.3,01100000_00110010,7.0203537940979,_M_00005,150
61,117.05,0.006,0.3,01100000_00110010,7.037834167480469,_M_00005,150
62,117.08,0.006,0.0,01100000_00000010,7.071243762969971,_M_00005,150
63,116.99,0.008,-0.3,01100000_00100010,7.104464054107666,_M_00005,150
64,117.05,0.008,-0.2,01100000_00000010,7.137924909591675,_M_00005,150
65,117.01,0.008,0.3,01100000_00010010,7.171113014221191,_M_00005,150
66,117.01,0.006,0.0,01100000_00000010,7.209416389465332,_M_00005,150
67,117.05,0.008,0.3,01100000_00110010,7.242645978927612,_M_00005,150
68,117.06,0.008,0.4,01100000_00010010,7.275819778442383,_M_00005,150
69,117.03,0.006,0.2,01100000_00110010,7.309039831161499,_M_00005,150
70,117.05,0.006,-0.1,01100000_00000010,7.342236042022705,_M_00005,150
71,117.05,0.006,0.0,01100000_00100010,7.375449180603027,_M_00005,150
72,117.06,0.008,0.2,01100000_00010010,7.408826589584351,_M_00005,150
73,117.03,0.004,0.0,01100000_00000010,7.441970109939575,_M_00005,150
74,117.06,0.008,0.0,01100000_00110010,7.475202798843384,_M_00005,150
75,116.97,0.008,-0.2,01100000_00000010,7.508372783660889,_M_00005,150
76,117.05,0.008,0.3,01100000_00010010,7.541605234146118,_M_00005,150
77,117.06,0.008,-0.5,01100000_00000010,7.574824094772339,_M_00005,150
78,117.05,0.008,-0.3,01100000_00100010,7.607987642288208,_M_00005,150
79,116.97,0.006,0.3,01100000_00010010,7.641194105148315,_M_00005,150
80,117.06,0.004,-0.2,01100000_00100010,7.674412488937378,_M_00005,150
81,117.05,0.01,0.2,01100000_00110010,7.707627296447754,_M_00005,150
82,117.03,0.004,0.2,01100000_00110010,7.740823984146118,_M_00005,150
83,117.06,0.008,0.6,01100000_00110010,7.774014949798584,_M_00005,150
84,116.96,0.008,-0.4,01100000_00100010,7.807196617126465,_M_00005,150
85,117.03,0.008,0.4,01100000_00110010,7.8403637409210205,_M_00005,150
86,117.08,0.006,0.7,01100000_00010010,7.873594284057617,_M_00005,150
87,116.96,0.008,-0.1,01100000_00000010,7.906793832778931,_M_00005,150
88,117.03,0.008,0.1,01100000_00010010,7.939985036849976,_M_00005,150
89,117.08,0.004,0.0,01100000_00010010,7.973168849945068,_M_00005,150
90,117.02,0.004,0.0,01100000_00100010,7.0203537940979,_M_00001,150
91,117.0,0.006,0.2,01100000_00110010,7.037834167480469,_M_00001,150
92,116.98,0.004,0.3,01100000_00010010,7.071243762969971,_M_00001,150
93,116.95,0.006,0.2,01100000_00110010,7.104464054107666,_M_00001,150
94,117.0,0.004,0.1,01100000_00010010,7.137924909591675,_M_00001,150
95,117.0,0.002,0.1,01100000_00110010,7.171113014221191,_M_00001,150
96,116.95,0.004,-0.1,01100000_00100010,7.209416389465332,_M_00001,150
97,117.0,0.006,0.3,01100000_00010010,7.242645978927612,_M_00001,150
98,116.97,0.004,0.0,01100000_00100010,7.275819778442383,_M_00001,150
99,117.11,0.006,0.3,01100000_00110010,7.309039831161499,_M_00001,150
100,116.98,0.004,0.1,01100000_00110010,7.342236042022705,_M_00001,150
101,117.04,0.002,0.1,01100000_00110010,7.375449180603027,_M_00001,150
102,117.02,0.006,0.2,01100000_00110010,7.408826589584351,_M_00001,150
103,116.97,0.008,0.3,01100000_00010010,7.441970109939575,_M_00001,150
104,116.97,0.002,-0.1,01100000_00000010,7.475202798843384,_M_00001,150
105,117.09,0.004,0.1,01100000_00110010,7.508372783660889,_M_00001,150
106,116.97,0.006,0.0,01100000_00000010,7.541605234146118,_M_00001,150
107,116.97,0.006,-0.1,01100000_00000010,7.574824094772339,_M_00001,150
108,117.02,0.004,-0.3,01100000_00100010,7.607987642288208,_M_00001,150
109,116.97,0.006,-0.2,01100000_00100010,7.641194105148315,_M_00001,150
110,117.04,0.006,-0.2,01100000_00100010,7.674412488937378,_M_00001,150
