,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
87,116.01,0.002,0.2,01100000_00110010,6.454110860824585,_M_00002,149
88,115.96,0.004,0.1,01100000_00110010,6.470705986022949,_M_00002,149
89,116.05,0.004,0.2,01100000_00010010,6.487525463104248,_M_00002,149
90,115.99,0.004,-0.1,01100000_00000010,6.5041868686676025,_M_00002,149
91,115.96,0.004,0.0,01100000_00000010,6.520801305770874,_M_00002,149
92,116.07,0.004,-0.2,01100000_00100010,6.537409782409668,_M_00002,149
93,115.99,0.002,0.0,01100000_00010010,6.554201126098633,_M_00002,149
94,116.05,0.002,0.0,01100000_00000010,6.570847749710083,_M_00002,149
95,115.97,0.002,0.3,01100000_00010010,6.587503671646118,_M_00002,149
96,116.08,0.002,0.1,01100000_00010010,6.6041154861450195,_M_00002,149
97,115.96,0.004,0.0,01100000_00000010,6.6207194328308105,_M_00002,149
98,115.97,0.002,0.0,01100000_00010010,6.637511730194092,_M_00002,149
99,116.14,0.004,0.0,01100000_00010010,6.654184818267822,_M_00002,149
100,115.97,0.002,-0.1,01100000_00000010,6.670832633972168,_M_00002,149
101,116.05,0.006,0.0,01100000_00010010,6.687439680099487,_M_00002,149
102,116.01,0.004,0.1,01100000_00010010,6.704059600830078,_M_00002,149
103,115.97,0.004,0.0,01100000_00110010,6.72085165977478,_M_00002,149
104,116.07,0.004,-0.1,01100000_00100010,6.737517833709717,_M_00002,149
105,115.99,0.004,0.0,01100000_00000010,6.754133939743042,_M_00002,149
106,115.99,0.004,0.0,01100000_00000010,6.770739793777466,_M_00002,149
107,115.99,0.004,0.0,01100000_00010010,6.787529230117798,_M_00002,149
108,116.08,0.006,0.1,01100000_00010010,6.8041863441467285,_M_00002,149
109,116.01,0.004,0.0,01100000_00110010,6.82084584236145,_M_00002,149
110,116.01,0.004,0.0,01100000_00000010,6.837435960769653,_M_00002,149
111,116.01,0.004,0.3,01100000_00010010,6.854043483734131,_M_00002,149
112,116.01,0.002,-0.2,01100000_00100010,6.870852947235107,_M_00002,149
113,116.01,0.002,0.2,01100000_00010010,6.887519121170044,_M_00002,149
114,116.03,0.006,0.4,01100000_00010010,6.90412974357605,_M_00002,149
115,116.07,0.004,-0.2,01100000_00000010,6.920751333236694,_M_00002,149
116,115.99,0.004,0.0,01100000_00110010,6.937518358230591,_M_00002,149
117,116.03,0.004,-0.1,01100000_00100010,6.954196929931641,_M_00002,149
118,115.99,0.004,0.2,01100000_00110010,6.970843076705933,_M_00002,149
119,116.1,0.004,-0.1,01100000_00000010,6.98744010925293,_M_00002,149
120,116.08,0.004,-0.2,01100000_00000010,5.010295867919922,_M_00002,148
121,116.05,0.004,0.0,01100000_00010010,5.020977973937988,_M_00002,148
122,115.96,0.004,0.0,01100000_00100010,5.039086580276489,_M_00002,148
123,116.07,0.004,0.0,01100000_00000010,5.054508209228516,_M_00002,148
124,116.05,0.004,0.2,01100000_00010010,5.071261167526245,_M_00002,148
125,115.97,0.004,0.1,01100000_00010010,5.0876359939575195,_M_00002,148
126,116.05,0.004,0.5,01100000_00110010,5.104523658752441,_M_00002,148
127,116.05,0.004,0.1,01100000_00110010,5.121053695678711,_M_00002,148
128,116.05,0.004,0.3,01100000_00110010,5.142512321472168,_M_00002,148
129,116.01,0.002,0.2,01100000_00010010,5.159076690673828,_M_00002,148
130,116.05,0.002,0.0,01100000_00110010,5.175666570663452,_M_00002,148
131,116.03,0.004,-0.1,01100000_00000010,5.192478656768799,_M_00002,148
